faculty_id,first_name,last_name,middle_name,position,department_id,hire_date,birth_date,gender,phone,email,address,emergency_contact_name,emergency_contact_phone,annual_salary,teaching_load,education_level,specialization,tenure_status,office_location,research_active,publications_count,grants_received,last_performance_review,performance_rating,sabbatical_eligible
FAC016,Laura,Wilson,Beth,Associate Professor,DEPT016,2020-08-12,1981-07-22,Female,555-3031,laura.wilson@university.edu,"597 Dogwood Ave, College City, CC 12360",Robert Wilson,555-3032,88000,12 credits,PhD,Educational Psychology,Tenure-Track,Edu-360,Yes,24,280000,2024-03-15,4.4,No
FAC017,Kevin,Davis,Ryan,Professor,DEPT017,2015-11-30,1971-01-14,Male,555-3033,kevin.davis@university.edu,"618 Magnolia Dr, College City, CC 12361",Emily Davis,555-3034,98000,9 credits,PhD,Clinical Social Work,Tenured,LA-180,Yes,33,350000,2024-01-12,4.7,Yes
FAC018,Michelle,Brown,Amanda,Assistant Professor,DEPT018,2022-02-14,1988-09-08,Female,555-3035,michelle.brown@university.edu,"729 Redwood St, College City, CC 12362",Brandon Brown,555-3036,72000,12 credits,PhD,Ethics,Tenure-Track,Hum-480,No,12,85000,2024-02-18,4.6,No
FAC019,Christopher,Lee,Matthew,Associate Professor,DEPT019,2018-12-18,1977-05-30,Male,555-3037,christopher.lee@university.edu,"840 Sequoia Ln, College City, CC 12363",Amy Lee,555-3038,85000,12 credits,MFA,Theater Arts,Tenure-Track,Theater-150,No,20,125000,2024-03-08,4.5,No
FAC020,Amanda,Johnson,Lynn,Professor,DEPT020,2016-07-22,1973-08-11,Female,555-3039,amanda.johnson@university.edu,"951 Cypress Ave, College City, CC 12364",David Johnson,555-3040,128000,9 credits,PhD,Environmental Policy,Tenured,SciHall-170,Yes,42,680000,2024-01-28,4.9,Yes
FAC021,Rebecca,Martinez,Sofia,Lecturer,DEPT001,2021-05-10,1985-03-17,Female,555-3041,rebecca.martinez@university.edu,"162 Fir St, College City, CC 12365",Carlos Martinez,555-3042,58000,15 credits,MS,Computer Science,Non-Tenure,Tech-205,No,8,0,2024-01-15,4.7,No
FAC022,Daniel,White,Thomas,Assistant Professor,DEPT002,2022-02-28,1987-12-22,Male,555-3043,daniel.white@university.edu,"273 Juniper Dr, College City, CC 12366",Rachel White,555-3044,68000,12 credits,PhD,Cell Biology,Tenure-Track,SciHall-220,Yes,15,180000,2024-02-20,4.8,No
FAC023,Christina,Lopez,Maria,Lecturer,DEPT003,2020-08-15,1982-01-05,Female,555-3045,christina.lopez@university.edu,"384 Cedar St, College City, CC 12367",Miguel Lopez,555-3046,52000,15 credits,MS,Statistics,Non-Tenure,Math-215,No,6,0,2024-01-10,4.6,No
FAC024,Ryan,Davis,Michael,Assistant Professor,DEPT004,2021-11-12,1986-07-28,Male,555-3047,ryan.davis@university.edu,"495 Palm Ave, College City, CC 12368",Lisa Davis,555-3048,75000,12 credits,PhD,Marketing,Tenure-Track,Bus-180,Yes,18,220000,2024-03-05,4.5,No
FAC025,Nicole,Garcia,Elena,Lecturer,DEPT005,2020-01-25,1984-11-14,Female,555-3049,nicole.garcia@university.edu,"506 Olive Dr, College City, CC 12369",Antonio Garcia,555-3050,55000,15 credits,MS,Counseling Psychology,Non-Tenure,LA-285,No,5,0,2024-02-28,4.9,No
FAC026,Steven,Clark,James,Lab Manager,DEPT006,2019-04-08,1981-06-20,Male,555-3051,steven.clark@university.edu,"617 Bamboo Ln, College City, CC 12370",Jennifer Clark,555-3052,65000,6 credits,MS,Engineering,Staff,Eng-Lab1,No,12,0,2024-01-25,4.4,No
FAC027,Ashley,Moore,Lynn,Lecturer,DEPT007,2020-06-30,1984-04-09,Female,555-3053,ashley.moore@university.edu,"728 Ivy St, College City, CC 12371",Jason Moore,555-3054,56000,15 credits,MS,Chemistry,Non-Tenure,SciHall-280,No,8,0,2024-02-10,4.7,No
FAC028,Brian,Taylor,Robert,Assistant Professor,DEPT008,2021-09-18,1985-02-12,Male,555-3055,brian.taylor@university.edu,"839 Rose Ave, College City, CC 12372",Karen Taylor,555-3056,69000,12 credits,PhD,Contemporary Literature,Tenure-Track,Hum-225,No,14,95000,2024-03-01,4.6,No
FAC029,Melissa,Anderson,Kate,Lecturer,DEPT009,2020-07-20,1983-08-25,Female,555-3057,melissa.anderson@university.edu,"940 Tulip Dr, College City, CC 12373",Chris Anderson,555-3058,54000,15 credits,MS,Physics,Non-Tenure,Phys-320,No,7,0,2024-01-20,4.8,No
FAC030,Gregory,Wilson,Paul,Lab Technician,DEPT010,2018-03-25,1976-10-18,Male,555-3059,gregory.wilson@university.edu,"151 Daisy Ln, College City, CC 12374",Monica Wilson,555-3060,45000,0 credits,BA,History,Staff,Hum-Archives,No,3,0,2024-02-15,4.5,No
