student_id,student_number,first_name,last_name,middle_name,date_of_birth,age,gender,ssn_last4,phone_primary,phone_secondary,email,address_street,address_city,address_state,address_zip,emergency_contact_name,emergency_contact_relationship,emergency_contact_phone,major,minor,class_level,enrollment_status,gpa,total_credits,credits_current_semester,scholarship_amount,financial_aid_status,advisor_id,registration_date,expected_graduation,academic_standing,residence_hall,meal_plan,tuition_balance,academic_probation,honors_program,student_activities,work_study,internship_status,health_insurance,disability_services,career_services_visits,library_fines
STU011,SN011234567,David,Thompson,James,2001-06-20,22,Male,8642,555-4028,,david.thompson@student.university.edu,"852 Cherry Avenue","College City",CC,12355,Karen Thompson,Mother,555-4029,Social Work,Psychology,Senior,Full-Time,3.42,95,18,11000,Need-Based,FAC017,2020-08-10,2024-05-15,Good Standing,Liberal Arts Hall,Standard,2150.00,No,Yes,"Social Justice Club",Yes,Completed,Yes,Yes,5,18.75
STU012,SN012345678,Michelle,White,Rose,2003-12-25,20,Female,1975,555-4030,555-4031,michelle.white@student.university.edu,"963 Walnut Drive","College City",CC,12356,Steven White,Father,555-4032,Nursing,Biology,Junior,Full-Time,3.81,82,17,17000,Merit-Based,FAC015,2021-08-18,2025-05-18,Dean's List,Health Sciences Hall,Standard,475.00,No,Yes,"Nursing Society",No,In Progress,Yes,No,1,0.00
STU013,SN013456789,Kevin,Miller,Scott,2001-02-28,23,Male,3691,555-4033,,kevin.miller@student.university.edu,"159 Hickory Street","College City",CC,12357,Jessica Miller,Mother,555-4034,Philosophy,Religion,Senior,Full-Time,3.28,108,12,6000,Partial Aid,FAC018,2019-08-15,2024-05-15,Good Standing,Off-Campus,None,3850.25,No,No,"Philosophy Club",Yes,Completed,No,No,9,65.00
STU014,SN014567890,Rachel,Davis,Nicole,2002-09-15,21,Female,2584,555-4035,555-4036,rachel.davis@student.university.edu,"486 Sycamore Lane","College City",CC,12358,Michael Davis,Father,555-4037,Education,English,Junior,Full-Time,3.59,85,16,13000,Need-Based,FAC016,2021-08-16,2025-05-16,Good Standing,Education Hall,Standard,1125.75,No,Yes,"Future Teachers Club",No,In Progress,Yes,No,3,7.50
STU015,SN015678901,Andrew,Johnson,Lynn,2002-05-11,21,Male,7419,555-4038,,andrew.johnson@student.university.edu,"597 Dogwood Avenue","College City",CC,12359,Susan Johnson,Mother,555-4039,Economics,Business,Junior,Full-Time,3.35,79,14,9000,Partial Aid,FAC014,2021-08-18,2025-05-18,Good Standing,Business Hall,Light,2200.25,No,No,"Economics Society",Yes,In Progress,Yes,No,6,32.50
STU016,SN016789012,Laura,Wilson,Beth,2003-11-30,20,Female,8520,555-4040,555-4041,laura.wilson@student.university.edu,"618 Magnolia Drive","College City",CC,12360,Robert Wilson,Father,555-4042,Mathematics,Computer Science,Sophomore,Full-Time,3.94,52,18,22000,Merit-Based,FAC003,2022-08-22,2026-05-22,Dean's List,Math Hall,Standard,0.00,No,Yes,"Math Club Tutoring Center",No,Not Started,Yes,No,0,0.00
STU017,SN017890123,Mark,Brown,Allen,2003-07-04,20,Male,9641,555-4043,,mark.brown@student.university.edu,"729 Redwood Street","College City",CC,12361,Jennifer Brown,Mother,555-4044,Chemistry,Biology,Sophomore,Full-Time,3.76,48,17,15000,Need-Based,FAC007,2022-08-20,2026-05-20,Good Standing,Science Hall,Premium,875.00,No,Yes,"Chemistry Club",No,Not Started,Yes,No,1,4.25
STU018,SN018901234,Nicole,Anderson,Kate,2001-04-16,22,Female,7358,555-4045,555-4046,nicole.anderson@student.university.edu,"840 Sequoia Lane","College City",CC,12362,Brian Anderson,Father,555-4047,Political Science,History,Senior,Full-Time,3.48,102,15,7000,Partial Aid,FAC013,2020-08-12,2024-05-15,Good Standing,Liberal Arts Hall,Standard,2950.50,No,No,"Model UN",Yes,Completed,Yes,No,7,28.75
STU019,SN019012345,Gregory,Martinez,Paul,2002-08-22,21,Male,4736,555-4048,,gregory.martinez@student.university.edu,"951 Cypress Avenue","College City",CC,12363,Elena Martinez,Mother,555-4049,Physics,Mathematics,Junior,Full-Time,3.61,81,16,12000,Merit-Based,FAC009,2021-08-16,2025-05-16,Good Standing,Physics Hall,Standard,1450.75,No,Yes,"Physics Society",No,In Progress,Yes,No,2,11.00
STU020,SN020123456,Stephanie,Clark,Marie,2004-01-09,20,Female,5927,555-4050,555-4051,stephanie.clark@student.university.edu,"162 Fir Street","College City",CC,12364,James Clark,Father,555-4052,English,Creative Writing,Sophomore,Full-Time,3.83,46,17,19000,Merit-Based,FAC008,2022-08-25,2026-05-25,Dean's List,Humanities Hall,Standard,325.00,No,Yes,"Literary Magazine Creative Writing Club",No,Not Started,Yes,No,0,0.00
