employee_id,employee_number,first_name,last_name,middle_name,date_of_birth,age,gender,ssn_last4,phone_primary,phone_secondary,email,address_street,address_city,address_state,address_zip,hire_date,position_title,department,manager_id,branch_id,salary,commission_rate,performance_rating,employment_status,education_level,licenses_certifications,training_completed,security_clearance,background_check_date,drug_test_date,last_review_date,next_review_date,vacation_days_used,vacation_days_remaining,sick_days_used,overtime_hours,employee_benefits,emergency_contact_name,emergency_contact_relationship,emergency_contact_phone,notes
EMP011,BNK011,David,Auditor,James,1983-06-20,40,Male,8642,555-3028,,david.auditor@bank.com,"852 Audit Avenue","Austin",TX,73301,2018-11-10,Internal Auditor,Audit,EMP001,BR011,75000,0.02,4.2,Active,Bachelor's Degree,"CIA|CPA",Yes,Level 3,2018-11-08,2018-11-10,2023-11-10,2024-05-10,12,13,1,0,Full Benefits,Karen Auditor,Wife,555-3029,Certified internal auditor
EMP012,BNK012,Michelle,Marketing Specialist,Rose,1991-12-25,32,Female,1975,555-3030,555-3031,michelle.marketing@bank.com,"963 Marketing Way","Jacksonville",FL,32099,2020-07-18,Marketing Specialist,Marketing,EMP001,BR012,55000,0.03,3.9,Active,Bachelor's Degree,"Digital Marketing Certificate",Yes,Level 1,2020-07-16,2020-07-18,2023-07-18,2024-01-18,8,17,2,0,Full Benefits,Steven Marketing,Husband,555-3032,Digital marketing expert
EMP013,BNK013,Kevin,Operations Manager,Scott,1979-02-28,44,Male,3691,555-3033,,kevin.operations@bank.com,"159 Operations Blvd","Fort Worth",TX,76101,2017-12-15,Operations Manager,Operations,EMP001,BR013,80000,0.04,4.3,Active,Bachelor's Degree,"PMP|Six Sigma",Yes,Level 2,2017-12-13,2017-12-15,2023-12-15,2024-06-15,15,10,1,0,Full Benefits,Jessica Operations,Wife,555-3034,Project management professional
EMP014,BNK014,Rachel,HR Specialist,Nicole,1989-09-15,34,Female,2584,555-3035,555-3036,rachel.hr@bank.com,"486 HR Street","Columbus",OH,43201,2020-04-16,HR Specialist,Human Resources,EMP001,BR014,50000,0.02,3.8,Active,Bachelor's Degree,"PHR|SHRM-CP",Yes,Level 2,2020-04-14,2020-04-16,2023-04-16,2024-10-16,9,16,2,0,Full Benefits,Michael HR,Husband,555-3037,Human resources professional
EMP015,BNK015,Andrew,Risk Analyst,Lynn,1986-05-11,37,Male,7419,555-3038,,andrew.risk@bank.com,"597 Risk Road","Charlotte",NC,28201,2019-08-18,Risk Analyst,Risk Management,EMP001,BR015,70000,0.03,4.1,Active,Master's Degree,"FRM|PRM",Yes,Level 2,2019-08-16,2019-08-18,2023-08-18,2024-02-18,11,14,1,0,Full Benefits,Susan Risk,Wife,555-3039,Financial risk manager
EMP016,BNK016,Laura,Legal Counsel,Beth,1994-11-30,29,Female,8520,555-3040,555-3041,laura.legal@bank.com,"618 Legal Lane","San Francisco",CA,94101,2021-03-22,Legal Counsel,Legal,EMP001,BR016,90000,0.02,4.4,Active,Juris Doctor,"Bar License|Banking Law",Yes,Level 3,2021-03-20,2021-03-22,2023-03-22,2024-09-22,14,11,1,0,Full Benefits,Robert Legal,Father,555-3042,Banking law specialist
EMP017,BNK017,Mark,Business Analyst,Allen,1990-07-04,33,Male,9641,555-3043,,mark.analyst@bank.com,"729 Analysis Ave","Indianapolis",IN,46201,2018-10-20,Business Analyst,Business Analysis,EMP001,BR017,60000,0.03,3.9,Active,Bachelor's Degree,"CBAP|IIBA",Yes,Level 2,2018-10-18,2018-10-20,2023-10-20,2024-04-20,10,15,2,0,Full Benefits,Jennifer Analyst,Wife,555-3044,Certified business analyst
EMP018,BNK018,Nicole,Training Coordinator,Kate,1984-04-16,39,Female,7358,555-3045,555-3046,nicole.training@bank.com,"840 Training Trail","Seattle",WA,98101,2019-11-12,Training Coordinator,Training,EMP001,BR018,50000,0.02,4.0,Active,Bachelor's Degree,"CPLP|Instructional Design",Yes,Level 1,2019-11-10,2019-11-12,2023-11-12,2024-05-12,12,13,1,0,Full Benefits,Brian Training,Husband,555-3047,Training and development specialist
EMP019,BNK019,Gregory,Facilities Manager,Paul,1988-08-22,35,Male,4736,555-3048,,gregory.facilities@bank.com,"951 Facilities Way","Denver",CO,80201,2020-05-16,Facilities Manager,Facilities,EMP001,BR019,55000,0.02,3.8,Active,Bachelor's Degree,"Facility Management Certificate",Yes,Level 1,2020-05-14,2020-05-16,2023-05-16,2024-11-16,9,16,2,0,Full Benefits,Elena Facilities,Wife,555-3049,Facility management professional
EMP020,BNK020,Stephanie,Executive Assistant,Marie,1993-01-09,31,Female,5927,555-3050,555-3051,stephanie.executive@bank.com,"162 Executive Blvd","Washington",DC,20001,2021-02-25,Executive Assistant,Administration,EMP001,BR020,45000,0.02,4.2,Active,Bachelor's Degree,"Administrative Certificate",Yes,Level 2,2021-02-23,2021-02-25,2023-02-25,2024-08-25,11,14,1,0,Full Benefits,James Executive,Husband,555-3052,Executive support specialist 
