customer_id,customer_number,first_name,last_name,middle_name,date_of_birth,age,gender,ssn_last4,phone_primary,phone_secondary,email,address_street,address_city,address_state,address_zip,emergency_contact_name,emergency_contact_relationship,emergency_contact_phone,account_type,credit_score,annual_income,employment_status,employer,account_status,opening_date,last_activity_date,balance_checking,balance_savings,balance_credit,loan_balance,overdraft_protection,online_banking,mobile_banking,debit_card,credit_card,investment_account,insurance_products,financial_advisor,branch_preference,preferred_language,fraud_alerts,account_frozen,last_credit_review,risk_level
CUST011,BNK011234567,David,Thompson,James,1983-06-20,40,Male,8642,555-1028,,david.thompson@email.com,"852 Cherry Avenue","Austin",TX,73301,Karen Thompson,Wife,555-1029,Personal,720,85000,Employed,Finance Corp,Active,2018-11-10,2024-01-13,18000.50,55000.25,9000.00,40000.00,Yes,Yes,Yes,Yes,No,Yes,No,FA002,Downtown Branch,English,No,No,2024-01-06,Medium
CUST012,BNK012345678,Michelle,White,Rose,1991-12-25,32,Female,1975,555-1030,555-1031,michelle.white@email.com,"963 Walnut Drive","Jacksonville",FL,32099,Steven White,Husband,555-1032,Personal,800,95000,Employed,Healthcare Inc,Active,2020-07-18,2024-01-15,25000.75,70000.50,11000.00,25000.00,Yes,Yes,Yes,Yes,Yes,No,No,FA003,Beach Branch,English,No,No,2024-01-12,Low
CUST013,BNK013456789,Kevin,Miller,Scott,1979-02-28,44,Male,3691,555-1033,,kevin.miller@email.com,"159 Hickory Street","Fort Worth",TX,76101,Jessica Miller,Wife,555-1034,Business,650,140000,Self-Employed,Miller Construction,Active,2017-12-15,2024-01-14,60000.25,180000.75,22000.00,120000.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FA002,West Branch,English,No,No,2024-01-08,Medium
CUST014,BNK014567890,Rachel,Davis,Nicole,1989-09-15,34,Female,2584,555-1035,555-1036,rachel.davis@email.com,"486 Sycamore Lane","Columbus",OH,43201,Michael Davis,Husband,555-1037,Personal,780,82000,Employed,Education Systems,Active,2020-04-16,2024-01-15,22000.00,60000.25,13000.00,35000.00,Yes,Yes,Yes,Yes,No,Yes,No,FA001,Central Branch,English,No,No,2024-01-09,Low
CUST015,BNK015678901,Andrew,Johnson,Lynn,1986-05-11,37,Male,7419,555-1038,,andrew.johnson@email.com,"597 Dogwood Avenue","Charlotte",NC,28201,Susan Johnson,Wife,555-1039,Personal,740,88000,Employed,Banking Corp,Active,2019-08-18,2024-01-14,30000.50,75000.75,16000.00,28000.00,Yes,Yes,Yes,Yes,Yes,No,No,FA003,South Branch,English,No,No,2024-01-07,Medium
CUST016,BNK016789012,Laura,Wilson,Beth,1994-11-30,29,Female,8520,555-1040,555-1041,laura.wilson@email.com,"618 Magnolia Drive","San Francisco",CA,94101,Robert Wilson,Father,555-1042,Personal,850,105000,Employed,Tech Startup,Active,2021-03-22,2024-01-15,35000.75,95000.25,20000.00,15000.00,Yes,Yes,Yes,Yes,Yes,Yes,No,FA001,Bay Branch,English,No,No,2024-01-11,Low
CUST017,BNK017890123,Mark,Brown,Allen,1990-07-04,33,Male,9641,555-1043,,mark.brown@email.com,"729 Redwood Street","Indianapolis",IN,46201,Jennifer Brown,Wife,555-1044,Business,680,125000,Self-Employed,Brown Consulting,Active,2018-10-20,2024-01-13,50000.25,150000.50,25000.00,90000.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FA002,Circle Branch,English,No,No,2024-01-06,Medium
CUST018,BNK018901234,Nicole,Anderson,Kate,1984-04-16,39,Female,7358,555-1045,555-1046,nicole.anderson@email.com,"840 Sequoia Lane","Seattle",WA,98101,Brian Anderson,Husband,555-1047,Personal,760,98000,Employed,Software Corp,Active,2019-11-12,2024-01-15,28000.50,80000.75,17000.00,32000.00,Yes,Yes,Yes,Yes,Yes,Yes,No,FA003,Pacific Branch,English,No,No,2024-01-10,Low
CUST019,BNK019012345,Gregory,Martinez,Paul,1988-08-22,35,Male,4736,555-1048,,gregory.martinez@email.com,"951 Cypress Avenue","Denver",CO,80201,Elena Martinez,Wife,555-1049,Personal,720,90000,Employed,Real Estate Corp,Active,2020-05-16,2024-01-14,25000.75,65000.50,14000.00,38000.00,Yes,Yes,Yes,Yes,No,Yes,No,FA001,Mountain Branch,English,No,No,2024-01-08,Medium
CUST020,BNK020123456,Stephanie,Clark,Marie,1993-01-09,31,Female,5927,555-1050,555-1051,stephanie.clark@email.com,"162 Fir Street","Washington",DC,20001,James Clark,Husband,555-1052,Personal,820,110000,Employed,Government Agency,Active,2021-02-25,2024-01-15,40000.00,100000.25,25000.00,20000.00,Yes,Yes,Yes,Yes,Yes,Yes,No,FA002,Capitol Branch,English,No,No,2024-01-12,Low 
